"Customer ID",Age,Gender,"Item Purchased",Category,"Purchase Amount (USD)",Location,Size,Color,Season,"Review Rating","Subscription Status","Payment Method","Shipping Type","Discount Applied","Promo Code Used","Previous Purchases","Preferred Payment Method","Frequency of Purchases"
1,55,0,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,1,"Credit Card",Express,1,1,14,Venmo,4
2,19,0,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,1,"Bank Transfer",Express,1,1,2,Cash,4
3,50,0,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,1,Cash,"Free Shipping",1,1,23,"Credit Card",5
4,21,0,Sandals,Footwear,90,"Rhode Island",M,Maroon,Spring,3.5,1,PayPal,"Next Day Air",1,1,49,PayPal,5
5,45,0,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,1,Cash,"Free Shipping",1,1,31,PayPal,1
6,46,0,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,1,Venmo,Standard,1,1,14,Venmo,5
7,63,0,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,1,"Debit Card","Free Shipping",1,1,49,Cash,2
8,27,0,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,1,"Debit Card","Free Shipping",1,1,19,"Credit Card",5
9,26,0,Coat,Outerwear,97,"West Virginia",L,Silver,Summer,2.6,1,Venmo,Express,1,1,8,Venmo,1
10,57,0,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,1,PayPal,"2-Day Shipping",1,1,4,Cash,2
11,53,0,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,1,"Credit Card","Store Pickup",1,1,26,"Bank Transfer",4
12,30,0,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,1,PayPal,"Store Pickup",1,1,10,"Bank Transfer",4
13,61,0,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,1,PayPal,Express,1,1,37,Venmo,4
14,65,0,Dress,Clothing,51,"New Hampshire",M,Violet,Spring,4.7,1,"Debit Card",Express,1,1,31,PayPal,5
15,64,0,Coat,Outerwear,53,"New York",L,Teal,Winter,4.7,1,PayPal,"Free Shipping",1,1,34,"Debit Card",5
16,64,0,Skirt,Clothing,81,"Rhode Island",M,Teal,Winter,2.8,1,"Credit Card","Store Pickup",1,1,8,PayPal,3
17,25,0,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,1,Venmo,"Next Day Air",1,1,44,"Debit Card",4
18,53,0,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,1,"Debit Card","2-Day Shipping",1,1,36,Venmo,2
19,52,0,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,1,"Bank Transfer","Free Shipping",1,1,17,Cash,5
20,66,0,Pants,Clothing,90,"Rhode Island",M,Green,Summer,3.3,1,Venmo,Standard,1,1,46,"Debit Card",4
21,21,0,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,1,"Credit Card",Express,1,1,50,Cash,2
22,31,0,Pants,Clothing,62,"North Carolina",M,Charcoal,Winter,4.1,1,"Credit Card","Store Pickup",1,1,22,"Debit Card",2
23,56,0,Pants,Clothing,37,California,M,Peach,Summer,3.2,1,Cash,"Store Pickup",1,1,32,"Debit Card",1
24,31,0,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,1,"Credit Card",Express,1,1,40,"Credit Card",5
25,18,0,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,1,Cash,"Store Pickup",1,1,16,"Debit Card",5
26,18,0,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,1,"Bank Transfer",Express,1,1,14,PayPal,1
27,38,0,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,1,Cash,"Next Day Air",1,1,13,"Credit Card",1
28,56,0,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,1,"Debit Card","Next Day Air",1,1,7,"Bank Transfer",2
29,54,0,Handbag,Accessories,94,"North Carolina",M,Gray,Fall,4.4,1,"Debit Card","Free Shipping",1,1,41,PayPal,2
30,31,0,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,1,Venmo,"Store Pickup",1,1,14,"Credit Card",5
31,57,0,Jewelry,Accessories,31,"North Carolina",L,Black,Winter,4.7,1,"Bank Transfer",Standard,1,1,16,"Credit Card",3
32,33,0,Dress,Clothing,79,"West Virginia",L,Brown,Winter,4.7,1,Venmo,"Store Pickup",1,1,45,Venmo,3
33,36,0,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,1,"Bank Transfer","Free Shipping",1,1,37,Venmo,1
34,54,0,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,1,Venmo,"Store Pickup",1,1,45,Cash,2
35,36,0,T-shirt,Clothing,91,"North Dakota",L,Violet,Spring,4.6,1,"Debit Card","2-Day Shipping",1,1,38,PayPal,2
